+0,09,24,0,0,0,0,9
+0,09,25,0,0,0,0,10
+0,09,26,0,0,0,1,11
+0,09,27,0,0,0,1,12
+0,09,28,0,0,1,1,13
+0,09,29,1,0,0,1,14
+0,10,01,0,0,0,1,15
+0,10,02,0,1,0,1,16
+0,10,03,0,0,0,1,17
+0,10,04,0,0,0,1,18
+0,10,05,0,0,0,1,19
+0,10,06,0,0,0,1,20
+0,10,07,0,0,0,1,21
+0,10,08,0,0,0,1,22
+0,10,09,0,0,0,1,23
+0,10,10,0,0,0,1,24
+0,10,11,0,0,0,1,25
+0,10,12,0,0,0,1,26
+0,10,13,0,0,0,1,0
+0,10,14,0,0,0,1,1
+0,10,15,0,0,0,1,2
+0,10,16,0,0,0,1,3
+0,10,17,0,0,0,1,4
+0,10,18,0,0,0,1,5
+0,10,19,1,0,0,1,6
+0,10,20,0,0,0,1,7
+0,10,21,0,1,0,1,8
+0,10,22,0,0,0,1,9
+0,10,23,1,0,0,1,10
+0,10,24,0,0,0,0,11
