Feoh,Fehu
Ur,Uruz
Thorn,Thurisaz
Ansur,Ansuz
Rad,Raido
Ken,Kano
Geofu,Gebo
Wynn,Wunjo
Hagall,Hagalaz
Nied,Nauthiz
Is,Isa
Jara,Jera
Yr,Eihwaz
Peorth,Perth
Eolh,Algiz
Sigel,Sowelu
Tir,Teiwaz
Beorc,Berkana
Eoh,Ehwaz
Mann,Mannaz
Lagu,Laguz
Ing,Inguz
Othel,Othila
Daeg,Dagaz
Wird,Blank
