+0,09,27,0,0,0,0,12
+0,09,28,0,0,0,0,13
+0,09,29,0,0,0,0,14
+0,10,01,0,0,0,0,15
+0,10,02,0,0,0,0,16
+0,10,03,0,0,0,0,17
+0,10,04,0,0,0,0,18
+0,10,05,0,0,0,0,19
+0,10,06,0,0,0,0,20
+0,10,07,0,0,0,0,21
+0,10,08,0,0,0,0,22
+0,10,09,0,0,0,0,23
+0,10,10,0,0,1,0,24
+0,10,11,0,0,0,0,25
+0,10,12,0,0,1,0,26
+0,10,13,0,0,0,0,0
+0,10,14,0,0,0,0,1
+0,10,15,0,0,0,0,2
+0,10,16,0,0,0,0,3
+0,10,17,0,0,0,0,4
+0,10,18,0,0,0,0,5
+0,10,19,0,0,0,0,6
+0,10,20,0,0,0,0,7
+0,10,21,0,0,0,0,8
+0,10,22,0,0,0,0,9
+0,10,23,0,0,0,0,10
+0,10,24,0,0,0,0,11
+0,10,25,0,1,0,0,12
+0,10,26,0,0,0,0,13
+0,10,27,0,0,0,0,14
