1955,0,1,1
1955,0,2,0
1955,0,3,0
1955,1,3,1
1955,0,4,0
1955,0,5,0
1955,0,6,1
1955,0,7,0
1955,0,8,1
1955,0,9,0
1955,0,10,1
1955,0,11,1
1955,0,12,1
1956,0,1,0
1956,0,2,1
1956,0,3,0
1956,0,4,1
1956,0,5,0
1956,0,6,0
1956,0,7,1
1956,0,8,0
1956,0,9,1
1956,0,10,0
1956,0,11,1
1956,0,12,1
1957,0,1,1
1957,0,2,0
1957,0,3,1
1957,0,4,0
1957,0,5,1
1957,0,6,0
1957,0,7,0
1957,0,8,1
1957,1,8,0
1957,0,9,1
1957,0,10,0
1957,0,11,1
1957,0,12,1
1958,0,1,0
1958,0,2,1
1958,0,3,1
1958,0,4,0
1958,0,5,1
1958,0,6,0
1958,0,7,0
1958,0,8,1
1958,0,9,0
1958,0,10,1
1958,0,11,0
1958,0,12,1
1959,0,1,0
1959,0,2,1
1959,0,3,1
1959,0,4,0
1959,0,5,1
1959,0,6,0
1959,0,7,1
1959,0,8,0
1959,0,9,1
1959,0,10,0
1959,0,11,1
1959,0,12,0
1960,0,1,1
1960,0,2,0
1960,0,3,1
1960,0,4,0
1960,0,5,1
1960,0,6,1
1960,1,6,0
1960,0,7,1
1960,0,8,0
1960,0,9,1
1960,0,10,0
1960,0,11,1
1960,0,12,0
1961,0,1,1
1961,0,2,0
1961,0,3,1
1961,0,4,0
1961,0,5,1
1961,0,6,0
1961,0,7,1
1961,0,8,1
1961,0,9,0
1961,0,10,1
1961,0,11,0
1961,0,12,1
1962,0,1,0
1962,0,2,1
1962,0,3,0
1962,0,4,0
1962,0,5,1
1962,0,6,0
1962,0,7,1
1962,0,8,1
1962,0,9,0
1962,0,10,1
1962,0,11,1
1962,0,12,0
1963,0,1,1
1963,0,2,0
1963,0,3,1
1963,0,4,0
1963,1,4,0
1963,0,5,1
1963,0,6,0
1963,0,7,1
1963,0,8,0
1963,0,9,1
1963,0,10,1
1963,0,11,1
1963,0,12,0
1964,0,1,1
1964,0,2,0
1964,0,3,1
1964,0,4,0
1964,0,5,0
1964,0,6,1
1964,0,7,0
1964,0,8,1
1964,0,9,0
1964,0,10,1
1964,0,11,1
1964,0,12,1
1965,0,1,0
1965,0,2,1
1965,0,3,0
1965,0,4,1
1965,0,5,0
1965,0,6,0
1965,0,7,1
1965,0,8,0
1965,0,9,0
1965,0,10,1
