1955,01,6,11,36
1955,02,4,23,18
1955,03,6,17,31
1955,04,5,22,38
1955,05,6,16,16
1955,06,6,20,42
1955,07,8,07,06
1955,08,8,16,51
1955,09,8,19,32
1955,10,9,10,51
1955,11,8,13,44
1955,12,8,06,22
1956,01,6,17,31
1956,02,5,05,12
1956,03,5,23,24
1956,04,5,04,30
1956,05,5,22,08
1956,06,6,02,35
1956,07,7,12,58
1956,08,7,22,41
1956,09,8,01,19
1956,10,8,16,35
1956,11,7,19,24
1956,12,7,12,02
1957,01,5,23,11
1957,02,4,10,55
1957,03,6,05,10
1957,04,5,10,18
1957,05,6,03,57
1957,06,6,08,24
1957,07,7,18,48
1957,08,8,04,32
1957,09,8,07,12
1957,10,8,22,29
1957,11,8,01,19
1957,12,7,17,56
1958,01,6,05,05
1958,02,4,16,49
1958,03,6,11,04
1958,04,5,16,11
1958,05,6,09,48
1958,06,6,14,12
1958,07,8,00,33
1958,08,8,10,17
1958,09,8,12,58
1958,10,9,04,18
1958,11,8,07,12
1958,12,7,23,50
1959,01,6,10,58
1959,02,2,22,42
1959,03,6,16,56
1959,04,5,22,02
1959,05,6,15,38
1959,06,6,20,00
1959,07,8,06,19
1959,08,8,16,04
1959,09,8,18,47
1959,10,9,10,09
1959,11,8,13,02
1959,12,8,05,37
1960,01,6,16,42
1960,02,5,04,23
1960,03,5,22,36
1960,04,5,03,43
1960,05,5,21,22
1960,06,6,01,48
1960,07,7,12,12
1960,08,7,21,59
1960,09,8,00,45
1960,10,8,16,09
1960,11,7,19,02
1960,12,7,11,37
1961,01,5,22,42
1961,02,4,10,22
1961,03,6,04,35
1961,04,5,09,42
1961,05,6,03,20
1961,06,6,07,45
1961,07,7,18,06
1961,08,8,03,48
1961,09,8,06,29
1961,10,8,21,51
1961,11,8,00,45
1961,12,7,17,25
1962,01,6,04,34
1962,02,4,16,17
1962,03,6,10,30
1962,04,5,15,34
1962,05,6,09,08
1962,06,6,13,30
1962,07,7,23,50
1962,08,8,09,34
1962,09,8,12,16
1962,10,9,03,38
1962,11,8,06,34
1962,12,7,23,16
1963,01,6,10,26
1963,02,4,22,08
1963,03,6,16,17
1963,04,5,21,18
1963,05,6,14,50
1963,06,6,19,13
1963,07,8,05,37
1963,08,8,15,26
1963,09,8,18,12
1963,10,9,09,36
1963,11,8,12,31
1963,12,8,05,12
1964,01,6,16,22
1964,02,5,04,05
1964,03,5,22,16
1964,04,5,03,17
1964,05,5,20,49
1964,06,6,01,10
1964,07,7,11,32
1964,08,7,21,17
1964,09,7,23,59
1964,10,8,15,21
1964,11,7,18,14
1964,12,7,10,52
1965,01,5,22,02
1965,02,4,09,47
1965,03,6,04,01
1965,04,5,09,05
1965,05,6,02,40
1965,06,6,07,01
1965,07,7,17,22
1965,08,8,03,05
1965,09,8,05,48
1965,10,8,21,10
1965,11,8,00,05
1965,12,7,16,45
1966,01,6,03,55
1966,02,4,15,38
1966,03,6,09,51
1966,04,5,14,55
1966,05,6,08,29
1966,06,6,12,49
1966,07,7,23,07
1966,08,8,08,49
1966,09,8,11,31
1966,10,9,02,56
1966,11,8,05,54
1966,12,7,22,38
1967,01,6,09,49
1967,02,4,21,31
1967,03,6,15,41
1967,04,5,20,43
1967,05,6,14,16
1967,06,6,18,36
1967,07,8,04,53
1967,08,8,14,35
1967,09,8,17,17
1967,10,9,08,40
1967,11,8,11,37
1967,12,8,04,17
1968,01,6,15,26
