1926,0,1,0
1926,0,2,0
1926,0,3,1
1926,0,4,0
1926,0,5,1
1926,0,6,0
1926,0,7,1
1926,0,8,1
1926,0,9,0
1926,0,10,1
1926,0,11,1
1926,0,12,0
1927,0,1,1
1927,0,2,0
1927,0,3,0
1927,0,4,1
1927,0,5,0
1927,0,6,1
1927,0,7,0
1927,0,8,1
1927,0,9,0
1927,0,10,1
1927,0,11,1
1927,0,12,1
1928,0,1,0
1928,0,2,1
1928,1,2,0
1928,0,3,0
1928,0,4,1
1928,0,5,0
1928,0,6,0
1928,0,7,1
1928,0,8,0
1928,0,9,1
1928,0,10,1
1928,0,11,1
1928,0,12,1
1929,0,1,0
1929,0,2,1
1929,0,3,0
1929,0,4,0
1929,0,5,1
1929,0,6,0
1929,0,7,0
1929,0,8,1
1929,0,9,0
1929,0,10,1
1929,0,11,1
1929,0,12,1
1930,0,1,0
1930,0,2,1
1930,0,3,1
1930,0,4,0
1930,0,5,0
1930,0,6,1
1930,1,6,0
1930,0,7,0
1930,0,8,1
1930,0,9,0
1930,0,10,1
1930,0,11,1
1930,0,12,0
1931,0,1,1
1931,0,2,1
1931,0,3,0
1931,0,4,1
1931,0,5,0
1931,0,6,1
1931,0,7,0
1931,0,8,0
1931,0,9,1
1931,0,10,0
1931,0,11,1
1931,0,12,0
1932,0,1,1
1932,0,2,1
1932,0,3,1
1932,0,4,0
1932,0,5,1
1932,0,6,0
1932,0,7,1
1932,0,8,0
1932,0,9,0
1932,0,10,1
1932,0,11,0
1932,0,12,1
1933,0,1,0
1933,0,2,1
1933,0,3,1
1933,0,4,0
1933,0,5,1
1933,1,5,0
1933,0,6,1
1933,0,7,1
1933,0,8,0
1933,0,9,1
1933,0,10,0
1933,0,11,0
1933,0,12,1
1934,0,1,0
1934,0,2,1
1934,0,3,0
1934,0,4,1
1934,0,5,1
1934,0,6,0
1934,0,7,1
1934,0,8,0
1934,0,9,1
1934,0,10,1
1934,0,11,0
1934,0,12,1
1935,0,1,0
1935,0,2,0
1935,0,3,1
1935,0,4,0
1935,0,5,1
1935,0,6,0
1935,0,7,1
1935,0,8,1
1935,0,9,0
1935,0,10,1
1935,0,11,1
1935,0,12,0
1936,0,1,1
1936,0,2,0
1936,0,3,0
1936,1,3,1
1936,0,4,0
1936,0,5,0
1936,0,6,1
1936,0,7,1
1936,0,8,0
1936,0,9,1
1936,0,10,1
1936,0,11,1
1936,0,12,0
1937,0,1,1
1937,0,2,0
1937,0,3,0
1937,0,4,1
1937,0,5,0
1937,0,6,0
1937,0,7,1
1937,0,8,0
1937,0,9,1
1937,0,10,1
1937,0,11,1
1937,0,12,0
1938,0,1,1
1938,0,2,1
1938,0,3,0
1938,0,4,0
1938,0,5,1
1938,0,6,0
1938,0,7,0
1938,1,7,1
1938,0,8,0
1938,0,9,1
1938,0,10,1
1938,0,11,0
1938,0,12,1
1939,0,1,1
1939,0,2,1
1939,0,3,0
1939,0,4,0
1939,0,5,1
1939,0,6,0
1939,0,7,0
1939,0,8,1
1939,0,9,0
1939,0,10,1
1939,0,11,0
1939,0,12,1
1940,0,1,1
1940,0,2,1
1940,0,3,0
1940,0,4,1
1940,0,5,0
1940,0,6,1
1940,0,7,0
1940,0,8,0
1940,0,9,1
1940,0,10,0
1940,0,11,1
1940,0,12,0
1941,0,1,1
1941,0,2,1
1941,0,3,0
1941,0,4,1
1941,0,5,1
1941,0,6,0
1941,1,6,1
1941,0,7,0
1941,0,8,0
1941,0,9,1
1941,0,10,0
1941,0,11,1
1941,0,12,0
1942,0,1,1
1942,0,2,0
1942,0,3,1
1942,0,4,1
1942,0,5,0
1942,0,6,1
1942,0,7,0
1942,0,8,1
1942,0,9,0
1942,0,10,1
1942,0,11,0
1942,0,12,1
1943,0,1,0
1943,0,2,1
1943,0,3,0
1943,0,4,1
1943,0,5,0
1943,0,6,1
1943,0,7,1
1943,0,8,0
1943,0,9,1
1943,0,10,0
1943,0,11,1
1943,0,12,0
1944,0,1,1
1944,0,2,0
1944,0,3,1
1944,0,4,0
1944,1,4,1
1944,0,5,0
1944,0,6,1
1944,0,7,0
1944,0,8,1
1944,0,9,1
1944,0,10,0
1944,0,11,1
1944,0,12,1
1945,0,1,0
1945,0,2,0
1945,0,3,1
1945,0,4,0
1945,0,5,0
1945,0,6,1
1945,0,7,0
1945,0,8,1
1945,0,9,1
1945,0,10,1
1945,0,11,0
1945,0,12,1
1946,0,1,1
1946,0,2,0
1946,0,3,0
1946,0,4,1
1946,0,5,0
1946,0,6,0
1946,0,7,1
1946,0,8,0
1946,0,9,1
1946,0,10,1
1946,0,11,0
1946,0,12,1
1947,0,1,1
1947,0,2,1
1947,1,2,0
1947,0,3,0
1947,0,4,1
1947,0,5,0
1947,0,6,0
1947,0,7,1
1947,0,8,0
1947,0,9,1
1947,0,10,0
1947,0,11,1
1947,0,12,1
1948,0,1,1
1948,0,2,0
1948,0,3,1
1948,0,4,0
1948,0,5,1
1948,0,6,0
1948,0,7,0
1948,0,8,1
1948,0,9,0
1948,0,10,1
1948,0,11,0
1948,0,12,1
1949,0,1,1
1949,0,2,0
1949,0,3,1
1949,0,4,1
1949,0,5,0
1949,0,6,1
1949,0,7,0
1949,1,7,0
1949,0,8,1
1949,0,9,0
1949,0,10,1
1949,0,11,0
1949,0,12,1
1950,0,1,0
1950,0,2,1
1950,0,3,1
1950,0,4,0
1950,0,5,1
1950,0,6,1
1950,0,7,0
1950,0,8,0
1950,0,9,1
1950,0,10,0
1950,0,11,1
1950,0,12,0
1951,0,1,1
1951,0,2,0
